Player,AB,R,HR,RBI,SB,AVG,OBP,H,2B,3B,BB,SO,SLG,OPS,Rost,Yahoo,ESPN,PlayerId,Team
Juan Soto ,522,115,35,107,12,0.31,0.453,162,29,3,137,102,0.578,1.031,0.99,0.99,1.0,6906,WSH 
Trea Turner ,605,107,27,90,30,0.304,0.356,184,35,4,48,114,0.509,0.864,0.99,0.99,1.0,5828,LAD 
Vladimir Guerrero Jr. ,572,109,41,113,3,0.303,0.385,173,31,2,77,106,0.584,0.97,0.99,0.99,1.0,6050,TOR 
Jose Ramirez ,561,102,35,105,24,0.271,0.356,152,36,4,75,94,0.54,0.897,0.99,0.99,1.0,5288,CLE 
Bryce Harper ,535,105,37,102,14,0.281,0.403,150,35,2,109,149,0.562,0.964,0.99,0.99,1.0,4293,PHI 
Bo Bichette ,605,105,28,94,20,0.29,0.337,176,34,2,43,130,0.496,0.834,0.99,0.99,1.0,6808,TOR 
Ronald Acuna Jr. ,481,105,35,83,23,0.28,0.375,135,26,2,73,139,0.568,0.943,0.99,0.99,1.0,6966,ATL 
Freddie Freeman ,574,108,31,98,6,0.296,0.386,170,33,2,84,109,0.526,0.913,0.99,0.99,1.0,3365,LAD 
Matt Olson ,559,99,42,115,3,0.266,0.36,149,29,1,82,135,0.546,0.906,0.99,0.98,1.0,5718,ATL 
Rafael Devers ,593,101,36,107,5,0.279,0.343,166,38,2,57,137,0.536,0.879,0.99,0.99,1.0,5175,BOS 
Mookie Betts ,574,115,29,84,16,0.278,0.366,159,35,3,80,104,0.507,0.873,0.99,0.99,1.0,4921,LAD 
Mike Trout ,497,100,36,95,8,0.283,0.403,141,27,3,100,146,0.57,0.973,0.99,0.99,1.0,3785,LAA 
Kyle Tucker ,553,89,31,97,17,0.28,0.347,155,35,4,56,111,0.531,0.878,0.99,0.99,1.0,6006,HOU 
Aaron Judge ,550,98,38,99,5,0.276,0.366,152,25,1,78,166,0.536,0.902,0.99,0.99,1.0,4955,NYY 
Manny Machado ,583,92,32,104,11,0.277,0.349,161,30,2,64,109,0.504,0.853,0.99,0.99,1.0,3778,SD 
Yordan Alvarez ,544,91,36,109,2,0.279,0.352,152,32,2,61,146,0.548,0.9,0.99,0.99,1.0,6461,HOU 
Ozzie Albies ,606,101,28,91,17,0.27,0.323,164,37,6,47,120,0.49,0.813,0.99,0.99,1.0,5980,ATL 
Luis Robert ,562,89,29,86,16,0.286,0.335,161,34,3,41,146,0.512,0.847,0.99,0.99,0.98,6935,CWS 
Pete Alonso ,565,90,40,109,2,0.259,0.337,146,27,2,67,141,0.529,0.866,0.99,0.99,1.0,6960,NYM 
Nick Castellanos ,581,93,32,98,3,0.282,0.333,164,37,2,45,139,0.516,0.85,0.99,0.98,0.99,4631,PHI 
Teoscar Hernandez ,566,87,33,101,11,0.267,0.322,151,29,2,46,168,0.498,0.82,0.9,0.94,0.87,4846,TOR 
Tim Anderson ,604,99,21,69,19,0.295,0.326,178,33,2,28,136,0.46,0.786,0.98,0.99,0.97,4956,CWS 
Tyler O'Neill ,530,88,34,90,14,0.26,0.318,138,25,2,45,177,0.509,0.827,0.79,0.85,0.73,5050,STL 
Xander Bogaerts ,576,93,26,92,7,0.285,0.358,164,36,1,65,121,0.491,0.849,0.99,0.99,1.0,4347,BOS 
Paul Goldschmidt ,579,94,30,88,7,0.277,0.358,160,31,2,73,141,0.487,0.845,0.99,0.99,0.99,4403,STL 
Trevor Story ,571,91,27,83,21,0.261,0.328,149,36,4,57,157,0.485,0.813,0.98,0.99,0.97,4747,BOS 
Byron Buxton ,499,86,31,79,16,0.272,0.316,136,34,3,32,135,0.538,0.855,0.98,0.98,0.98,4672,MIN 
Starling Marte ,544,89,17,65,34,0.277,0.326,151,29,3,40,112,0.432,0.759,0.98,0.99,0.98,4377,NYM 
George Springer ,533,98,34,86,6,0.263,0.344,140,26,2,66,135,0.51,0.855,0.99,0.99,1.0,4614,TOR 
Austin Riley ,571,86,32,99,1,0.276,0.335,158,31,2,51,161,0.506,0.841,0.98,0.98,0.99,6022,ATL 
Kris Bryant ,551,94,27,85,8,0.277,0.353,153,35,3,64,139,0.497,0.85,0.94,0.94,0.95,4934,COL 
Jose Abreu ,578,86,30,107,1,0.267,0.326,154,32,2,50,141,0.484,0.809,0.96,0.96,0.97,4594,CWS 
Franmil Reyes ,548,79,37,104,3,0.256,0.326,140,24,2,57,183,0.511,0.837,0.62,0.61,0.62,6005,CLE 
Marcus Semien ,596,96,30,82,12,0.257,0.331,153,32,2,66,129,0.471,0.802,0.93,0.93,0.92,4544,TEX 
Jorge Polanco ,582,91,26,86,10,0.271,0.326,157,33,3,48,113,0.47,0.796,0.94,0.93,0.94,5354,MIN 
Jose Altuve ,578,102,26,76,7,0.273,0.339,158,30,2,58,96,0.465,0.805,0.99,0.98,1.0,4334,HOU 
Bryan Reynolds ,567,90,24,85,5,0.283,0.363,161,34,6,70,132,0.493,0.856,0.9,0.88,0.91,6818,PIT 
J.D. Martinez ,567,85,29,97,1,0.273,0.342,155,35,2,60,150,0.495,0.837,0.99,0.98,0.99,4339,BOS 
Corey Seager ,528,86,26,86,3,0.288,0.358,152,33,3,58,101,0.506,0.864,0.98,0.97,0.99,4805,TEX 
Francisco Lindor ,574,90,27,86,14,0.256,0.33,147,28,3,63,111,0.453,0.783,0.99,0.99,1.0,4569,NYM 
Cedric Mullins II ,586,88,24,64,25,0.265,0.327,156,31,5,54,125,0.459,0.787,0.98,0.98,0.99,7400,BAL 
Brandon Lowe ,533,90,34,90,7,0.248,0.328,132,28,2,63,166,0.5,0.828,0.88,0.9,0.85,7236,TB 
Ketel Marte ,564,85,23,78,6,0.294,0.352,166,37,4,51,98,0.492,0.844,0.94,0.93,0.96,5179,ARI 
Nolan Arenado ,587,82,31,100,2,0.262,0.324,154,31,2,54,97,0.478,0.802,0.99,0.99,1.0,4350,STL 
Salvador Perez ,546,74,36,97,1,0.265,0.299,145,24,1,26,143,0.509,0.808,0.97,0.97,0.97,4147,KC 
Wander Franco ,575,92,18,82,9,0.285,0.341,164,34,8,49,85,0.466,0.807,0.99,0.98,1.0,7147,TB 
Max Muncy ,487,90,33,95,3,0.249,0.359,121,23,1,83,129,0.506,0.865,0.89,0.84,0.94,5207,LAD 
Whit Merrifield ,611,88,12,64,29,0.279,0.322,170,36,4,39,98,0.41,0.732,0.96,0.97,0.95,6338,KC 
Kyle Schwarber ,505,90,37,87,3,0.246,0.346,124,22,1,78,160,0.516,0.863,0.95,0.94,0.96,5686,PHI 
Giancarlo Stanton ,514,77,34,97,1,0.262,0.344,135,23,0,64,160,0.51,0.854,0.98,0.98,0.98,3783,NYY 
Jared Walsh ,541,80,31,98,2,0.263,0.328,142,30,2,52,154,0.5,0.828,0.91,0.93,0.89,8473,LAA 
Javier Baez ,562,80,28,85,15,0.254,0.292,143,26,3,30,183,0.461,0.753,0.84,0.91,0.77,4606,DET 
Christian Yelich ,515,90,23,78,14,0.263,0.367,136,26,3,85,145,0.463,0.83,0.98,0.97,0.98,4596,MIL 
Rhys Hoskins ,512,86,34,93,4,0.241,0.342,124,30,1,79,147,0.508,0.85,0.89,0.88,0.9,6744,PHI 
Eloy Jimenez ,545,74,31,94,1,0.27,0.319,147,29,1,39,143,0.499,0.818,0.88,0.9,0.85,5141,CWS 
Carlos Correa ,546,88,25,88,1,0.272,0.351,149,32,1,67,122,0.476,0.827,0.96,0.95,0.97,4673,MIN 
Randy Arozarena ,538,87,23,73,18,0.258,0.326,139,29,3,54,161,0.452,0.778,0.93,0.97,0.89,6962,TB 
Josh Bell ,533,81,29,95,1,0.263,0.348,140,26,2,70,120,0.485,0.833,0.96,0.93,0.98,4664,WSH 
Nelson Cruz ,496,75,32,90,2,0.265,0.334,132,21,1,51,131,0.499,0.832,0.73,0.73,0.73,3796,WSH 
Jonathan India ,554,98,22,71,11,0.262,0.346,145,33,2,71,146,0.45,0.796,0.82,0.86,0.77,6895,CIN 
Alex Bregman ,530,87,24,88,3,0.268,0.364,142,32,1,80,86,0.47,0.833,0.98,0.97,1.0,5973,HOU 
C.J. Cron ,493,73,30,91,1,0.269,0.34,133,28,1,54,124,0.512,0.852,0.96,0.96,0.96,4688,COL 
Ryan Mountcastle ,564,78,30,87,4,0.26,0.311,147,27,2,42,161,0.473,0.784,0.75,0.81,0.7,7239,BAL 
Mitch Haniger ,550,88,31,86,3,0.25,0.317,137,25,2,54,150,0.47,0.787,0.79,0.8,0.78,6481,SEA 
Joey Gallo ,497,89,39,93,5,0.212,0.343,105,18,1,99,206,0.487,0.83,0.51,0.45,0.56,4711,NYY 
Joey Votto ,517,80,30,91,2,0.253,0.356,131,25,1,83,140,0.48,0.836,0.58,0.51,0.64,3535,CIN 
Adalberto Mondesi ,485,66,17,60,41,0.246,0.287,119,24,5,27,148,0.425,0.712,0.24,0.35,0.12,5860,KC 
Dansby Swanson ,570,81,25,80,10,0.253,0.315,144,31,2,52,156,0.441,0.756,0.85,0.89,0.8,5965,ATL 
Lourdes Gurriel Jr. ,532,72,24,85,4,0.273,0.316,145,30,2,34,119,0.469,0.785,0.72,0.64,0.8,6931,TOR 
Justin Turner ,498,79,23,81,2,0.274,0.344,137,24,1,53,94,0.463,0.807,0.87,0.83,0.92,4261,LAD 
Bobby Witt Jr. ,521,74,21,73,18,0.258,0.312,135,29,4,41,134,0.442,0.754,0.92,0.94,0.91,6810,KC 
Avisail Garcia ,534,73,24,81,8,0.265,0.317,141,24,1,41,139,0.448,0.765,0.39,0.35,0.44,4140,MIA 
Hunter Renfroe ,508,76,32,88,3,0.241,0.306,123,26,1,48,141,0.48,0.787,0.77,0.76,0.77,4959,MIL 
Anthony Rendon ,505,77,22,86,2,0.271,0.358,137,31,2,69,94,0.47,0.828,0.96,0.94,0.98,4291,LAA 
Marcell Ozuna ,506,73,26,85,3,0.265,0.338,134,22,1,56,127,0.47,0.808,0.88,0.84,0.91,4726,ATL 
Jake Cronenworth ,554,85,18,74,7,0.273,0.338,151,33,6,54,95,0.45,0.787,0.88,0.83,0.93,7868,SD 
Anthony Rizzo ,510,79,26,79,6,0.257,0.336,131,24,2,61,93,0.464,0.799,0.97,0.95,0.99,4307,NYY 
Seiya Suzuki ,484,73,24,74,9,0.27,0.348,130,25,2,58,111,0.479,0.827,0.89,0.87,0.91,6973,CHC 
Miguel Sano ,515,80,35,89,2,0.228,0.314,118,26,1,65,201,0.479,0.794,0.11,0.11,0.11,4634,MIN 
Fernando Tatis Jr. ,309,64,25,62,15,0.286,0.366,88,17,2,39,89,0.599,0.965,0.98,0.97,0.98,6853,SD 
Willy Adames ,547,82,25,76,6,0.255,0.328,140,30,2,60,168,0.455,0.783,0.86,0.87,0.85,5988,MIL 
Charlie Blackmon ,528,82,18,73,4,0.279,0.341,148,28,4,49,100,0.452,0.793,0.71,0.55,0.87,4418,COL 
Ryan McMahon ,529,77,24,83,5,0.255,0.329,135,29,2,59,156,0.457,0.786,0.75,0.79,0.71,5009,COL 
Jesse Winker ,482,79,24,71,2,0.274,0.356,132,28,1,61,99,0.479,0.835,0.81,0.73,0.89,5719,SEA 
Matt Chapman ,539,84,31,86,2,0.233,0.319,125,25,3,68,180,0.466,0.785,0.79,0.76,0.82,6315,TOR 
Jazz Chisholm Jr. ,517,77,22,63,23,0.242,0.301,125,22,5,43,161,0.432,0.733,0.97,0.98,0.96,8449,MIA 
Austin Meadows ,499,75,26,83,6,0.248,0.321,124,27,3,54,121,0.47,0.791,0.74,0.7,0.77,4936,DET 
J.T. Realmuto ,509,76,21,76,10,0.26,0.323,132,26,3,47,133,0.449,0.771,0.98,0.98,0.99,5371,PHI 
Eddie Rosario ,483,67,23,77,9,0.266,0.313,129,24,2,33,79,0.468,0.781,0.36,0.23,0.48,4556,ATL 
Will Smith ,430,73,27,81,3,0.257,0.345,110,22,2,58,104,0.503,0.848,0.99,0.98,1.0,7671,LAD 
Ty France ,542,77,20,79,1,0.276,0.331,149,30,1,45,109,0.447,0.778,0.96,0.95,0.98,8163,SEA 
Trey Mancini ,558,78,24,79,1,0.263,0.326,147,30,2,52,139,0.451,0.777,0.65,0.64,0.66,5976,BAL 
Trent Grisham ,522,82,21,67,15,0.247,0.333,129,28,4,68,136,0.435,0.768,0.43,0.37,0.48,7502,SD 
Tommy Edman ,547,79,12,57,22,0.269,0.313,147,31,4,35,91,0.406,0.72,0.97,0.96,0.98,7752,STL 
Alex Verdugo ,529,78,15,66,7,0.286,0.347,151,34,2,49,97,0.445,0.791,0.73,0.61,0.85,5983,BOS 
Randal Grichuk ,512,70,25,81,2,0.263,0.306,135,29,3,31,116,0.48,0.785,0.62,0.6,0.63,5423,COL 
Frank Schwindel ,495,70,24,77,3,0.266,0.312,132,28,1,33,99,0.469,0.781,0.39,0.25,0.53,7532,CHC 
Dylan Carlson ,558,81,21,72,6,0.257,0.328,144,32,4,58,149,0.439,0.766,0.52,0.47,0.58,6407,STL 
Adolis Garcia ,537,70,27,81,12,0.233,0.274,125,25,2,31,174,0.437,0.711,0.64,0.75,0.52,6901,TEX 
Yoan Moncada ,542,80,20,74,5,0.26,0.347,141,31,3,72,161,0.435,0.782,0.67,0.7,0.65,5679,CWS 
Adam Duvall ,482,67,32,89,3,0.229,0.284,111,19,2,37,154,0.479,0.763,0.32,0.36,0.27,5317,ATL 
Jean Segura ,536,76,15,64,9,0.281,0.33,150,28,3,39,87,0.424,0.754,0.88,0.84,0.91,4179,PHI 
Cody Bellinger ,482,75,25,77,9,0.238,0.323,115,22,3,60,123,0.456,0.779,0.93,0.9,0.95,6045,LAD 
Gleyber Torres ,522,70,19,72,11,0.263,0.335,137,26,1,57,116,0.43,0.765,0.75,0.72,0.78,5133,NYY 
Chris Taylor ,499,78,19,73,10,0.252,0.33,126,28,4,58,156,0.436,0.766,0.87,0.91,0.83,4888,LAD 
Austin Hays ,522,73,23,74,6,0.257,0.3,134,27,3,33,120,0.451,0.752,0.6,0.51,0.68,7238,BAL 
Jorge Soler ,530,77,31,80,1,0.237,0.323,125,26,1,68,158,0.46,0.783,0.7,0.66,0.75,4495,MIA 
Julio Rodriguez ,475,68,18,64,13,0.271,0.334,129,25,2,45,125,0.443,0.776,0.82,0.88,0.76,43685,SEA 
Nathaniel Lowe ,514,74,21,74,6,0.258,0.348,133,24,2,71,149,0.438,0.787,0.29,0.22,0.36,7914,TEX 
Ian Happ ,488,72,26,76,8,0.24,0.333,117,23,2,68,157,0.453,0.786,0.74,0.71,0.77,6008,CHC 
Josh Donaldson ,468,77,27,75,1,0.247,0.352,116,22,1,76,124,0.471,0.823,0.75,0.69,0.8,3594,NYY 
Jonathan Schoop ,556,73,22,75,2,0.264,0.304,147,26,2,31,122,0.435,0.739,0.32,0.2,0.44,4487,DET 
Andrew Benintendi ,501,68,17,71,10,0.269,0.333,135,29,3,48,109,0.443,0.776,0.83,0.78,0.88,5972,KC 
Brandon Belt ,454,74,26,71,4,0.252,0.348,114,23,2,67,132,0.486,0.834,0.43,0.42,0.44,3107,SF 
Kolten Wong ,519,79,14,57,15,0.267,0.325,139,30,3,44,96,0.418,0.743,0.65,0.56,0.74,4486,MIL 
Yuli Gurriel ,523,72,16,74,2,0.28,0.337,146,29,1,45,73,0.43,0.767,0.7,0.63,0.77,6438,HOU 
Amed Rosario ,544,74,13,61,12,0.276,0.315,150,26,6,31,116,0.418,0.733,0.36,0.31,0.4,5994,CLE 
Kike Hernandez ,526,84,22,69,2,0.253,0.323,133,32,3,54,114,0.451,0.773,0.49,0.28,0.71,5522,BOS 
Brandon Crawford ,501,70,19,74,7,0.259,0.328,130,28,2,51,114,0.437,0.764,0.55,0.55,0.55,4461,SF 
AJ Pollock ,434,61,22,71,7,0.269,0.32,116,25,1,33,100,0.481,0.801,0.26,0.3,0.22,4637,CWS 
Spencer Torkelson ,463,70,25,75,4,0.247,0.328,114,24,2,56,124,0.464,0.792,0.45,0.35,0.55,43877,DET 
Brendan Rodgers ,508,68,19,68,2,0.277,0.317,141,29,3,30,113,0.46,0.777,0.49,0.57,0.41,5966,COL 
Luke Voit ,463,68,26,77,1,0.248,0.325,115,20,1,52,144,0.462,0.787,0.29,0.3,0.29,7230,SD 
Michael Brantley ,495,71,13,61,3,0.294,0.348,146,30,2,41,67,0.44,0.788,0.83,0.74,0.93,3748,HOU 
Tommy Pham ,450,72,18,59,13,0.258,0.354,116,23,2,67,117,0.442,0.796,0.39,0.38,0.41,5584,CIN 
Wil Myers ,500,67,22,71,10,0.246,0.322,123,27,2,56,161,0.437,0.76,0.1,0.12,0.08,3471,SD 
Anthony Santander ,514,68,25,75,2,0.251,0.295,129,30,1,32,119,0.458,0.753,0.45,0.25,0.65,4903,BAL 
Jesus Aguilar ,477,61,23,82,1,0.258,0.331,123,23,1,53,107,0.45,0.781,0.36,0.33,0.39,5287,MIA 
Max Kepler ,491,75,24,72,8,0.233,0.317,114,26,3,60,109,0.445,0.762,0.63,0.5,0.76,5357,MIN 
Mike Yastrzemski ,492,75,24,71,4,0.241,0.318,119,28,4,55,138,0.459,0.777,0.62,0.55,0.7,8467,SF 
Ke'Bryan Hayes ,538,72,15,64,11,0.261,0.325,140,32,4,51,129,0.417,0.742,0.79,0.77,0.82,6910,PIT 
Eduardo Escobar ,527,69,24,78,2,0.245,0.305,129,24,4,45,120,0.445,0.75,0.54,0.46,0.62,4117,NYM 
Bobby Dalbec ,455,63,28,77,3,0.238,0.3,108,22,3,41,163,0.483,0.783,0.12,0.15,0.09,8355,BOS 
Jeimer Candelario ,543,73,19,71,2,0.258,0.335,140,33,3,63,137,0.433,0.768,0.29,0.1,0.48,5920,DET 
Daulton Varsho ,449,66,20,63,10,0.254,0.32,114,24,4,44,108,0.455,0.775,0.96,0.96,0.96,7551,ARI 
Jesus Sanchez ,487,63,24,72,3,0.253,0.313,123,20,4,42,144,0.462,0.775,0.2,0.22,0.17,6890,MIA 
Akil Baddoo ,474,68,16,57,19,0.246,0.32,117,22,7,51,137,0.425,0.745,0.1,0.09,0.1,7862,DET 
Luis Urias ,479,71,19,67,6,0.252,0.331,121,24,2,56,112,0.434,0.765,0.69,0.64,0.75,6936,MIL 
Shohei Ohtani ,526,100,38,93,22,0.259,0.359,136,26,5,82,172,0.547,0.906,0.5,0.0,1.0,7354,LAA 
Willson Contreras ,465,69,22,70,5,0.243,0.322,113,22,1,54,143,0.44,0.762,0.96,0.97,0.95,5919,CHC 
Ramon Laureano ,451,66,20,59,12,0.249,0.31,112,25,2,40,130,0.449,0.758,0.18,0.28,0.07,6740,OAK 
Jo Adell ,486,63,21,71,8,0.243,0.293,118,23,4,34,149,0.433,0.726,0.11,0.18,0.05,6899,LAA 
DJ LeMahieu ,485,73,12,56,4,0.282,0.348,137,22,2,48,73,0.406,0.754,0.95,0.92,0.98,4417,NYY 
Harrison Bader ,478,66,19,61,12,0.246,0.311,118,25,2,45,129,0.429,0.74,0.51,0.6,0.42,6480,STL 
Yasmani Grandal ,412,68,25,71,1,0.237,0.368,98,17,1,86,121,0.463,0.831,0.81,0.8,0.82,4445,CWS 
Oneil Cruz ,412,57,18,58,12,0.264,0.32,109,22,4,33,115,0.467,0.786,0.16,0.26,0.06,39199,PIT 
Mike Moustakas ,479,63,24,76,2,0.241,0.31,115,26,1,48,111,0.453,0.762,0.1,0.09,0.11,3779,CIN 
Andrew McCutchen ,456,69,21,67,6,0.238,0.336,109,22,1,68,119,0.43,0.766,0.25,0.16,0.33,3052,MIL 
Myles Straw ,504,73,4,42,26,0.263,0.338,133,24,2,57,110,0.344,0.682,0.61,0.64,0.58,7628,CLE 
Mark Canha ,478,77,18,63,8,0.237,0.332,113,22,3,68,124,0.406,0.738,0.52,0.41,0.63,5670,NYM 
Michael Conforto ,447,67,19,68,3,0.253,0.345,113,23,1,63,115,0.441,0.786,0.28,0.17,0.39,5812,RF) FA 
Robbie Grossman ,477,70,17,56,14,0.241,0.342,115,22,3,73,120,0.404,0.747,0.35,0.3,0.4,4795,DET 
Jarred Kelenic ,477,65,22,66,11,0.229,0.299,109,23,2,48,136,0.425,0.724,0.29,0.28,0.31,6884,SEA 
Alex Kirilloff ,456,58,19,65,4,0.266,0.315,121,24,2,33,111,0.456,0.771,0.19,0.17,0.21,6414,MIN 
Tyler Naquin ,446,60,18,65,5,0.262,0.312,117,25,2,33,119,0.448,0.76,0.18,0.23,0.13,5902,CIN 
Patrick Wisdom ,425,61,27,69,5,0.223,0.293,95,17,1,42,168,0.451,0.744,0.51,0.66,0.36,6255,CHC 
Brandon Nimmo ,462,76,14,51,7,0.261,0.366,120,24,4,76,119,0.426,0.792,0.7,0.59,0.81,4685,NYM 
Jeff McNeil ,486,64,13,58,4,0.275,0.329,134,28,2,39,74,0.418,0.747,0.85,0.8,0.89,8027,NYM 
Garrett Cooper ,433,60,18,62,2,0.265,0.338,115,20,1,48,127,0.44,0.779,0.02,0.03,0.02,7279,MIA 
Christian Walker ,474,65,18,66,2,0.251,0.318,119,26,2,47,127,0.43,0.747,0.29,0.33,0.25,4905,ARI 
Eugenio Suarez ,473,64,27,75,1,0.218,0.299,103,19,1,55,153,0.429,0.727,0.64,0.75,0.54,5332,SEA 
J.P. Crawford ,568,76,10,57,7,0.257,0.326,146,31,2,58,110,0.373,0.699,0.7,0.58,0.82,4950,SEA 
Eric Hosmer ,468,56,15,66,4,0.265,0.324,124,23,1,41,99,0.416,0.74,0.79,0.76,0.83,3329,SD 
Manuel Margot ,433,58,12,53,16,0.256,0.318,111,21,3,39,83,0.405,0.723,0.62,0.72,0.51,5888,TB 
